Accession,"Abundance: F3: 126, Sample","Abundance: F3: 127C, Sample","Abundance: F3: 128C, Sample","Abundance: F3: 129C, Sample","Abundance: F3: 130C, Sample","Abundance: F3: 131, Sample"
YBL068W,56.900199075869125,56.37748029357,58.49003114921768,47.365036037860776,54.6,53.15467784328341
YBL068W; YER099C,8.914534322539925,9.112620962738676,6.738956974975827,8.26552222208496,8.8,7.318397674075252
YBL069W,23.636251003763,20.146577670633093,23.149088845336813,19.765379226724903,19.2,21.878157257235486
YBL072C,180.48111488433688,217.0560438955947,173.56672392036978,193.26947178423003,169.0,175.41043688283523
YBL076C,263.1061130052498,244.88796454685075,280.7212840644511,222.88160357117792,250.3,221.16968128705315
YBL078C,21.089241197323023,22.45218056481999,23.71495546155616,22.280972946489893,22.0,25.113659386826654
YBL079W,32.19420395340133,32.77249828165657,33.48901519625392,34.64331922647783,37.1,33.818700830726684
YBL080C,3.871454905788767,3.3486137272714407,4.424048090442146,5.390557970924974,5.0,6.23989696421153
YBL085W,12.98975001284389,14.162989207148062,13.169259432013831,8.840515072316958,11.4,10.785007098637212
YBL087C,53.28344515072435,51.821169812200665,50.56789852214686,36.22454956461582,59.099999999999994,49.379925358760374
YBL090W,16.55556374185986,19.597624600588595,16.513016709673593,14.159198936962932,9.2,11.786472043510669
YBL091C,27.558646105680566,31.125639071523068,27.83034903406048,26.162174685555875,21.6,23.418872557040803
YBL091C-A,15.078298054124673,16.02942964529936,14.403877503765127,17.034163188122918,14.799999999999999,15.561224528033692
YBL092W,139.6780177851684,138.6655454932403,138.12289677717632,106.80492193059348,86.1,105.15381921171283
YBL098W,7.131627458031939,6.587436840533982,6.327417617725396,4.959313333250976,5.2,5.161396254347809
YBL099W,40.59933631465326,41.33616617435074,42.38855379679452,40.321373622518806,41.1,40.674883914860345
YBL101C,15.282058838639871,13.998303286134712,14.712532021702954,14.734191787194929,15.6,15.330117233062895
YBL103C,4.482737259334362,4.117148025333739,4.73270260837997,4.671816908134978,4.9,5.546575079299138
YBL105C,25.470098064399785,23.440296090900087,23.663513041899854,22.065350627652894,16.8,22.109264552206287
YBL106C,7.844790203835134,8.947935041725326,6.63607213566322,8.624892753479958,8.9,8.24282685395844
YBL107C,17.82906864507985,18.554613767504048,18.467828656613147,16.81854086928592,18.2,17.641190182770867
YBR002C,7.437268634804737,7.850028901636329,6.070205519443876,3.737453526507982,3.6,4.77621742939648
YBR003W,43.75762847463883,42.37917700743529,38.11883296532128,34.858941545314835,41.2,37.90159637521077
YBR006W,3.922395101917567,3.0741371922491916,3.0865451793782417,5.174935652087975,3.3,4.77621742939648
YBR007C,3.7186343174023686,5.269949472427186,3.755296634910194,3.3780829951129836,2.1,2.2340371847177085
YBR011C,225.4613080660669,230.01133634864487,221.15096210245102,201.89436453771003,187.1,190.81758988088842
YBR014C,10.137099029631115,10.64968955886327,7.767805368101908,7.187410627899965,3.6,5.315467784328341
YBR015C,67.44481967453062,61.318057923970485,67.7496666873524,52.03685294599575,60.1,62.09082658215424
YBR017C,25.571978456657387,22.122808722793287,25.5154401495268,21.346609564862895,25.4,23.264801027060273
YBR022W,22.31180590441421,20.695530740677594,22.37745255049225,20.268497970677902,20.5,23.264801027060273
YBR023C,3.260172552243173,4.2818339463470885,3.8067390545664983,3.2343347825549844,2.1,3.235502129591164
YBR024W,3.1582921599855736,2.7996606572269425,3.0865451793782417,3.3062088888339836,3.2,2.5421802446787716
YBR025C,254.80286103625542,246.4250331429754,246.51207499300892,227.26592405419692,214.69999999999996,204.91513487410705
YBR026C,80.84209125640491,79.76288107746564,79.83863530658385,74.96469284899665,70.6,73.95433439065518
YBR029C,115.78706580076141,113.1941230431756,114.04784437802603,106.51742550547749,103.1,102.76571049701458
YBR031W,23.483430415376603,18.3899278464907,34.15776665178587,19.693505120445906,14.399999999999999,18.873762422615123
YBR031W; YDR012W,124.03937757362695,128.40012308340823,104.42811190229719,100.48000057804151,112.4,108.69746440126504
YBR034C,60.92447457004429,55.883422530529955,64.71456392763046,50.240000289020756,54.3,52.76949901833208
YBR035C,62.86020202293867,61.26316261696604,63.016964078972435,59.36801178645371,61.8,59.163467512524136
YBR037C,40.29369513788046,40.34805064827064,36.9870997328826,42.4775968108888,36.4,40.751919679850616
YBR039W,129.1843373826357,123.07527830397657,131.94980641841985,126.2109306259234,117.5,111.00853735097303
YBR041W,37.39010395853889,31.18053437852752,40.22797217122975,32.91834067578184,34.8,35.5905234255028
YBR044C,7.335388242547138,5.928693156480585,5.144241965630403,6.18117313999397,6.9,5.546575079299138
YBR046C,61.99421868874907,60.549523625908186,57.4611827560916,61.955479612497705,56.599999999999994,58.62421715759228
YBR048W,122.66399227814937,114.73119163930019,140.5406905010226,98.25190328339254,86.60000000000001,90.13184503861099
YBR049C,16.912145114761458,17.511602934419503,17.336095424174456,14.159198936962932,14.3,13.250151578325719
YBR052C,61.02635496230189,55.93831783753439,58.23281905093616,54.76806898459773,51.49999999999999,54.69539314308872
YBR053C,96.4807314679464,98.42728545897859,97.63771250766504,94.01133101293154,91.2,96.21767047284199
YBR054W,3.922395101917567,3.6779855692981402,2.8293330810967214,4.743691014413977,5.1,3.620680954542493
YBR054W; YDR033W,4.890258828364758,5.7640072354672345,2.6750058221278095,3.881201739065981,3.6,2.465144479688506
YBR055C,35.454376505644504,33.48613727271441,33.386130356941315,28.67776840532086,27.2,25.575873976768243
YBR056W,57.10395986038432,60.220151783881484,53.55155886221249,59.655508211569725,57.400000000000006,54.46428584811793
YBR058C,22.82120786570221,22.067913415788844,21.142834478740955,19.9091274392829,17.8,21.41594266729389
YBR059C,12.123766678654297,10.045841181814323,12.346180717512967,8.553018647200958,8.1,10.09168521372482
YBR069C,45.03113337785882,42.48896762144419,44.600577842015596,34.068326376245835,39.4,35.282380365541734
YBR072W,75.79901183965374,69.49745866763352,87.50355583537315,78.05527941899362,85.3,86.12598525911719
YBR073W,23.7381313960206,22.50707587182444,19.54811946939553,15.452932849984926,13.3,16.100474882965553
YBR074W,7.335388242547138,8.014714822649678,7.40770843050778,7.403032946736965,5.3,5.7776823742699355
YBR078W,125.10912169233174,111.16299668401095,108.44062063548888,107.09241835570948,128.3,104.76864038676149
YBR079C,395.0412209788407,395.13641981803005,398.9359644346378,334.9333352601384,357.50000000000006,349.2801584658652
YBR080C,251.13516691498188,250.54218116830913,237.86974849074986,222.0909884021089,232.70000000000002,213.31203325804603
YBR081C,37.59386474305408,38.42671490311489,35.23805746456826,35.50580850182583,34.9,35.667559190493066
YBR082C; YDR059C,31.633861795984533,26.843805125175976,29.476506463062208,25.730930047881873,24.0,27.0395535115833
YBR084C-A,107.99321579305509,91.18110493439121,113.12188082421255,105.36743980501348,110.0,68.56183084133656
YBR084W,182.0602609643297,180.33108350961777,171.66335439308654,170.91662473146118,208.6,177.41336677258215
YBR085C-A,8.048550988350332,6.367855612516183,8.745211341571684,7.474907053015964,8.8,12.402758163432797
YBR086C,76.35935399707056,77.62196410429209,72.8424662333265,69.43038666551367,75.3,67.17518707151179
YBR088C,117.87561384204221,112.3157981311044,127.26854622969616,103.4987130417595,112.89999999999999,111.93296653085622
YBR089C-A,8.048550988350332,8.069610129654128,8.230787145008645,5.031187439529976,6.0,5.546575079299139
YBR091C,14.008553935419881,14.711942277192561,11.62598684232471,11.571731110918945,10.0,11.478328983549606
YBR092C,83.44004125897371,85.36220239191952,69.85880589326088,69.93350540946666,55.1,61.705647757202904
YBR092C; YAR071W; YBR093C,16.24992256508706,12.296548768996766,29.476506463062208,16.17167391277492,10.6,13.943473463238112
YBR093C,42.38224317916124,42.59875823545308,32.82026374072197,39.60263255972881,23.2,36.59198837037626
YBR094W,78.70260301899533,74.5478269120429,77.93526577930061,68.71164560272368,70.89999999999999,72.49065485584012
YBR096W,17.625307860564654,16.688173329352754,16.770228807955114,11.715479323476941,18.0,15.021974173101832
YBR097W,6.163763731584748,6.148274384498383,6.070205519443876,5.103061545808975,6.4,5.931753904250467
YBR101C,62.096099081006685,60.43973301189929,59.00445534578072,57.42741091692072,57.900000000000006,51.99914136842942
YBR102C,25.571978456657387,27.22807227420713,27.31592483749744,21.490357777420893,25.1,28.81137610635941
YBR106W,98.77304029374237,108.1437547987662,95.32280362313136,85.38643825945158,108.2,94.29177634808535
YBR108W,2.34324902192478,3.4584043412803407,3.858181474222802,3.5937053139499824,4.1,2.1570014197274423
YBR109C,94.6468844073096,95.2433576527205,107.61754192098803,89.62701052991257,84.69999999999999,87.28152173397116
YBR110W,7.895730399963933,6.642332147538432,5.710108581849747,7.115536521620966,6.0,6.316932729201795
YBR111C,87.56619714540645,83.60555256777712,83.18239258424362,80.2115026073636,77.5,77.42094381521713
YBR112C,27.507705909551767,27.337862888216026,29.064967105811775,23.359084540674885,24.5,24.189230206943463
YBR115C,448.37560632569375,448.49465822635534,436.5918156230523,400.0512755489121,389.0999999999999,384.4855030664166
YBR117C,133.10673248455328,148.1075382980057,121.2497831299086,143.9638348768363,128.7,118.9432211449704
YBR118W,1249.3083100588094,1343.3979530128968,1251.6969550771896,1241.9845565011142,1143.0,1366.6144709273153
YBR120C,17.52342746830705,14.492361049174761,17.284653004518155,14.662317680915928,16.1,15.099009938092097
YBR121C,248.4862767162843,272.006246207049,266.7803883375927,240.85013014092783,201.5,235.42129781025233
YBR123C,17.166846095405454,15.315790654241509,17.74763478142489,12.937339130219938,14.9,16.485653707916885
YBR125C,6.469404908357545,5.105263551413837,6.070205519443876,5.031187439529975,6.4,5.392503549318606
YBR126C,46.10087749656361,44.02603621756878,55.763582907433566,46.215050337396775,53.8,53.46282090324448
YBR127C,103.40859814146313,102.59932879131678,111.26995371658562,90.56137391153956,105.69999999999999,105.92417686161548
YBR130C,9.780517656729517,7.68534298062298,9.671174895385157,7.474907053015964,6.2,6.471004259182328
YBR132C,29.850954931476544,30.08262823843852,31.68853050828328,33.99645226996684,36.5,31.43059211602845
YBR139W,39.58053239207727,40.348050648270636,40.02220249260453,42.333848598330796,40.3,41.06006273981168
YBR142W,37.69574513531168,37.05433222800365,41.256820564355834,33.708955844850834,36.7,33.66462930074616
YBR143C,249.19943946208753,245.9858706869398,257.4178679601454,218.85665361955392,224.40000000000003,216.9327142125885
YBR145W,88.58500106798246,83.98981971680827,90.84731311303291,83.7333338150346,90.89999999999999,90.67109539354286
YBR149W,85.68140988864087,75.59083774512744,78.50113239551995,81.72085883922261,82.0,79.80905252991538
YBR151W,71.2653343841906,65.98415901934872,67.33812733010198,57.42741091692072,47.0,58.93236021755334
YBR152W,5.7053019664255515,6.203169691502834,6.070205519443876,5.893676714877971,4.8,4.699181664406214
YBR154C,13.295391189616687,12.790606532036815,12.65483523545079,9.559256135106953,11.100000000000001,11.632400513530136
YBR155W,73.71046379837298,68.72892436957122,69.55015137532305,63.177339419240695,58.699999999999996,66.17372212663832
YBR159W,4.533677455463161,5.215054165422736,7.716362948445605,4.959313333250976,4.5,4.853253194386745
YBR160W,70.399351050001,70.37578357970472,77.36939916308125,57.42741091692072,70.6,60.47307551735866
YBR162C,14.365135308321479,13.065083067059064,14.095222985827304,10.277997197896951,5.800000000000001,12.47979392842306
YBR164C,15.38393923089747,13.778722058116912,14.609647182390344,12.793590917661938,15.0,14.405688053179706
YBR166C,9.729577460600717,8.893039734720876,12.037526199575142,8.624892753479958,8.5,9.244291798831895
YBR169C,188.42778548042963,175.11602934419503,191.77734047870143,185.0039495621451,158.50000000000003,174.7941507629131
YBR169C; YPL106C,43.60480788625243,48.14318424290252,41.30826298401213,51.030615458089756,42.1,40.90599120983114
YBR170C,16.351802957344663,12.186758154987867,18.982252853176185,15.740429275100924,16.3,18.18044053770273
YBR171W,28.220868655354963,27.557444116233825,29.322179204093295,26.377797004392875,30.5,28.81137610635941
YBR172C,38.35796768498607,35.29768240386126,39.35345103707258,28.96526483043686,32.5,28.657304576378877
YBR173C,4.126155886432765,1.866440438151295,2.4692361435025934,3.2343347825549844,2.5,3.004394834620366
YBR176W,4.9411990244935575,5.928693156480585,5.5557813228808355,8.696766859758958,4.7,6.471004259182328
YBR177C,92.66021675828642,90.41257063632891,102.47329995535763,87.83015787293758,93.5,91.4414530434455
YBR181C,123.02057365105095,106.77137212365496,101.23868188360635,77.48028656876163,119.5,118.55804232001907
YBR187W,9.882398048987117,7.959819515645229,8.745211341571686,9.91862666650195,11.5,9.167256033841632
YBR189W; YPL081W,68.92208536226582,58.51839726674355,67.23524249078937,52.75559400878575,53.5,53.539856668234734
YBR191W,165.75939820311382,156.45162496268208,182.98068671747345,133.82958589149735,128.70000000000002,144.59613088672893
YBR192W,18.236590214110244,18.8290903025263,21.502931416335084,20.1966238643989,20.5,18.488583597663794
YBR196C,628.3473192487426,649.9604349326863,632.330222415289,618.836055062187,540.7,606.5796135333528
YBR198C,37.64480493918288,35.07810117584346,38.63325716188432,30.97773980624885,33.099999999999994,34.28091542066828
YBR199W,10.79932157930551,9.826259953796523,10.442811190229719,9.91862666650195,9.3,11.093150158598277
YBR200W,6.316584319971147,6.807018068551782,10.08271425263559,6.540543671388968,8.2,8.550969913919504
YBR204C,7.641029419319936,8.344086664676377,7.40770843050778,9.199885603711955,8.7,6.548040024172593
YBR205W,41.46531964884285,38.810982052146045,36.26690585769434,40.968240579029796,39.2,37.90159637521078
YBR208C,111.15150795304066,102.98359594034793,105.55984513473587,228.27216154210288,229.7,237.96347805493107
YBR211C,14.619836288965477,18.2801372324818,13.632241208920567,15.524806956263925,13.0,14.32865228818944
YBR215W,12.225647070911897,10.539898944854372,8.745211341571684,7.474907053015964,6.4,4.005859779493822
YBR218C,90.97919028603604,92.55348760950247,85.18864695083948,84.3802007715456,78.30000000000001,78.26833723011006
YBR221C,35.6581372901597,33.76061380773666,37.50152392944564,30.54649516857485,35.099999999999994,34.35795118565855
YBR222C,81.50431380607931,80.75099660354574,76.85497496651821,81.43336241410661,85.9,75.64912122044103
YBR225W,7.284448046418339,7.2461805245873805,7.767805368101908,6.25304724627297,8.2,6.625075789162859
YBR227C,10.49368040253271,10.375213023841022,10.185599091948198,10.062374879059952,13.3,11.17018592358854
YBR233W,7.5391490270623365,5.928693156480585,5.710108581849747,4.959313333250976,5.6,5.70064660927967
YBR233W-A,21.140181393451822,21.024902582704293,22.326010130835947,19.62163101416691,21.400000000000002,15.946403352985023
YBR234C,22.464626492800612,20.915111968695395,18.93081043351988,17.968526569749912,19.6,20.7226207823815
YBR236C,20.27419805926223,21.57385565274879,19.39379221042662,15.812303381379923,17.7,16.48565370791688
YBR241C,24.858815710854188,28.929826791345075,22.686107068430076,22.85596579672189,26.4,26.500303156651437
YBR242W,7.029747065774341,7.301075831591831,6.173090358756483,4.384320483018978,2.3,4.77621742939648
YBR244W,3.1073519638567735,3.5132996482847907,3.652411795597586,2.443719613485988,2.9,3.004394834620366
YBR245C,103.61235892597831,101.94058510726337,100.72425768704329,87.39891323526358,90.10000000000002,82.89048312952602
YBR247C,26.08138041794538,24.812678766011334,26.852943060590704,20.340372076956903,22.1,21.724085727254955
YBR248C,242.73003455372992,239.06906200437913,230.87357941749246,212.89110279839696,219.10000000000002,212.46463984315312
YBR249C,224.2896835551045,206.35145902972698,222.84856195110908,253.85934337742677,242.5,199.21448826482737
YBR252W,4.278976474819164,3.73288087630259,4.887029867348883,4.24057227046098,3.1,2.2340371847177085
YBR256C,17.778128448951048,17.292021706401705,15.94715009345425,14.80606589347393,13.4,11.40129321855934
YBR260C,35.4034363095157,36.5602744649636,35.701039241474994,26.162174685555875,27.7,29.273590696301007
YBR263W,166.727261929561,162.27052750515378,174.6984571528085,153.2355945868273,136.49999999999997,145.7516673615829
YBR264C,12.684108836071093,11.58290977793892,13.27214427132644,11.859227536034943,8.0,10.939078628617743
YBR267W,4.380856867076763,3.4584043412803407,5.761551001506051,3.881201739065981,3.2,3.543645189552227
YBR268W,4.2280362786903645,4.720996402382688,5.041357126317795,3.2343347825549844,5.1,5.7776823742699355
YBR271W,15.282058838639871,15.535371882259309,14.455319923421433,13.656080193009934,11.8,12.402758163432797
YBR272C,7.131627458031939,9.387097497760925,8.950981020196902,10.20612309161795,10.6,10.707971333646947
YBR275C,3.9733352980463663,2.5800794292091433,2.8293330810967214,2.9468383574389856,3.0,4.314002839454885
YBR276C,5.043079416751158,3.6230902622936902,5.041357126317795,4.384320483018978,4.7,5.70064660927967
YBR279W,54.455069661686736,51.27221674215616,52.3683832101175,50.02437797018375,47.1,45.21999404928603
YBR281C,14.925477465738274,15.480476575254858,16.307247031048377,17.89665246347091,14.0,14.867902643121301
YBR286W,193.62368548556714,187.0832062711651,187.71338932585343,174.22283362029515,167.40000000000003,176.56597335768922
YBR288C,8.30325196899433,12.900397146045716,11.21444748507428,13.224835555335934,13.4,13.789401933257578
YBR291C,46.50839906559401,43.36729253351538,46.50394736929884,36.00892724577883,39.3,40.366740854899284
YCL009C,21.08924119732302,24.208830388962387,18.00484687970641,18.543519419981912,12.4,15.407152998053162
YCL012C,51.093016717185975,48.91171854096482,44.24048090442147,49.37751101367276,59.6,52.61542748835154
YCL014W,30.56411767727974,29.31409394037622,33.128918258659795,26.521545216950873,27.7,26.26919586168064
YCL017C,74.57644713256258,74.60272221904735,64.20013973106742,71.65848396016264,67.7,58.162002567650674
YCL025C,5.450600985781554,4.062252718329289,4.424048090442146,6.396795458830969,7.3,7.010254614114188
YCL026C-B,64.94875006421945,69.00340090459346,61.062152132032885,53.905579709249736,37.0,46.221458994159484
YCL028W,10.086158833502315,8.234296050667478,7.870690207414516,7.762403478131962,5.0,9.475399093802695
YCL029C,74.62738732869137,66.69779801040657,72.17371477779456,71.08349110993066,57.60000000000001,67.94554472141444
YCL030C,261.8326081020298,259.1607443680078,239.15580898215745,242.35948637278682,256.2,232.8020818005833
YCL031C,6.622225496743944,5.160158858418287,5.401454063911923,3.665579420228982,3.2,3.7747524845230247
YCL032W,4.9921392206223585,6.367855612516183,4.784145028036275,5.318683864645974,3.4,4.236967074464619
YCL034W,8.965474518668724,9.606678725778725,8.53944166294647,9.415507922548954,9.8,9.70650638877349
YCL035C,8.965474518668724,8.893039734720876,12.191853458544054,10.134248985338951,9.6,13.096080048345186
YCL037C,136.82536680195565,134.60329277491104,133.18442449017112,112.33922811407645,109.09999999999998,110.1611439360801
YCL040W,163.41614918118904,163.03906180321607,170.94316051789826,163.2260953596082,135.29999999999998,145.0583454766705
YCL043C,347.9724797558299,350.56143053041677,321.3607955929313,298.06191873901156,307.9,285.1093662289737
YCL044C,26.437961790846977,26.95359573918488,24.538034176057018,23.287210434395888,19.1,22.03222878721602
YCL045C,58.581225548119505,51.821169812200665,57.203970657810075,54.696194878318735,65.0,54.00207125817633
YCL047C,24.40035394569499,26.294852055131482,25.618324988839404,19.981001545561902,26.400000000000002,19.335977012556718
YCL050C,49.87045201009478,47.045278102813526,45.783753494110584,41.1119887915878,42.3,45.45110134425683
YCL052C,8.048550988350332,7.52065705960963,8.848096180884292,6.2530472462729705,7.2,7.626540734036315
YCL054W,79.36482556866973,85.25241177791062,75.15737511786018,69.93350540946666,68.5,69.71736731619055
YCL057W,99.58808343180316,91.23600024139567,92.33914328306574,80.9302436701536,88.00000000000001,89.66963044866941
YCL059C,162.14264427796903,165.72893184643408,156.43639817482054,133.82958589149735,140.79999999999998,139.81991345733243
YCL064C,3.7186343174023686,3.1290324992536416,3.3951996973160656,30.187124637179853,27.4,29.735805286242602
